iter	Passed	Remaining
0	12	12814
1	17	8911
2	22	7616
3	33	8225
4	37	7383
5	40	6670
6	44	6248
7	47	5884
8	50	5610
9	54	5379
10	59	5320
11	65	5379
12	70	5337
13	75	5303
14	79	5211
15	83	5118
16	86	4986
17	89	4877
18	92	4797
19	96	4746
20	100	4663
21	103	4582
22	105	4495
23	108	4419
24	112	4400
25	116	4350
26	119	4301
27	122	4242
28	125	4192
29	129	4187
30	132	4148
31	137	4152
32	141	4142
33	145	4129
34	149	4124
35	152	4081
36	156	4075
37	160	4066
38	164	4046
39	167	4020
40	170	3998
41	174	3981
42	177	3956
43	180	3932
44	183	3904
45	186	3872
46	190	3853
47	193	3844
48	197	3825
49	200	3804
50	202	3760
51	205	3746
52	208	3731
53	212	3716
54	215	3695
55	217	3674
56	221	3663
57	224	3654
58	228	3640
59	230	3617
60	233	3598
61	236	3583
62	240	3570
63	243	3558
64	246	3541
65	248	3522
66	251	3508
67	255	3495
68	257	3480
69	260	3465
70	263	3451
71	266	3439
72	270	3431
73	273	3421
74	276	3408
75	279	3392
76	282	3381
77	285	3371
78	288	3363
79	291	3350
80	294	3341
81	297	3328
82	300	3317
83	303	3309
84	306	3296
85	309	3289
86	312	3279
87	315	3268
88	318	3264
89	322	3256
90	325	3248
91	328	3239
92	331	3236
93	335	3237
94	339	3232
95	342	3225
96	345	3216
97	348	3207
98	351	3200
99	354	3190
100	357	3181
101	360	3174
102	363	3169
103	367	3164
104	370	3158
105	372	3139
106	375	3130
107	378	3123
108	381	3121
109	383	3106
110	387	3101
111	390	3094
112	393	3085
113	396	3079
114	399	3073
115	402	3067
116	405	3059
117	408	3050
118	411	3047
119	414	3041
120	417	3033
121	420	3024
122	423	3018
123	425	3008
124	429	3006
125	433	3005
126	436	2998
127	439	2992
128	442	2987
129	445	2983
130	448	2976
131	451	2969
132	454	2963
133	458	2961
134	461	2955
135	464	2948
136	466	2941
137	469	2935
138	473	2932
139	476	2926
140	479	2920
141	482	2915
142	485	2907
143	488	2901
144	491	2898
145	495	2898
146	498	2893
147	501	2888
148	505	2885
149	507	2876
150	511	2874
151	514	2869
152	517	2864
153	520	2859
154	524	2857
155	527	2851
156	530	2846
157	533	2842
158	536	2836
159	539	2833
160	542	2828
161	546	2824
162	548	2817
163	552	2814
164	556	2815
165	559	2812
166	563	2808
167	565	2802
168	569	2802
169	573	2799
170	575	2790
171	578	2785
172	581	2781
173	585	2779
174	588	2775
175	592	2775
176	596	2771
177	599	2767
178	602	2765
179	606	2762
180	609	2756
181	611	2750
182	614	2744
183	619	2745
184	621	2739
185	624	2733
186	627	2729
187	630	2724
188	634	2720
189	636	2712
190	639	2707
191	642	2702
192	645	2697
193	648	2693
194	652	2691
195	655	2688
196	658	2682
197	661	2677
198	664	2673
199	667	2671
200	671	2668
201	674	2662
202	677	2658
203	680	2654
204	683	2649
205	686	2645
206	689	2640
207	692	2635
208	695	2630
209	698	2627
210	701	2621
211	704	2618
212	707	2614
213	710	2610
214	712	2600
215	715	2596
216	718	2592
217	721	2588
218	724	2584
219	728	2581
220	731	2579
221	735	2577
222	738	2573
223	741	2569
224	745	2567
225	748	2564
226	752	2561
227	755	2556
228	758	2553
229	762	2552
230	765	2549
231	769	2546
232	772	2541
233	775	2537
234	778	2535
235	782	2532
236	785	2528
237	788	2523
238	791	2519
239	794	2517
240	798	2514
241	801	2511
242	804	2506
243	807	2503
244	811	2499
245	814	2497
246	817	2493
247	820	2489
248	824	2485
249	827	2482
250	831	2481
251	834	2477
252	837	2473
253	840	2469
254	844	2466
255	847	2463
256	851	2461
257	854	2457
258	857	2454
259	861	2452
260	865	2449
261	868	2445
262	871	2441
263	874	2438
264	878	2436
265	881	2433
266	885	2429
267	888	2426
268	891	2423
269	894	2419
270	898	2416
271	901	2412
272	904	2408
273	908	2406
274	911	2403
275	914	2399
276	917	2394
277	921	2392
278	924	2390
279	928	2386
280	931	2382
281	933	2378
282	937	2374
283	940	2370
284	943	2367
285	946	2362
286	949	2357
287	952	2354
288	955	2350
289	958	2347
290	962	2343
291	964	2339
292	968	2336
293	971	2332
294	974	2329
295	977	2325
296	980	2320
297	983	2317
298	986	2313
299	989	2309
300	993	2306
301	996	2302
302	999	2299
303	1003	2297
304	1006	2293
305	1009	2288
306	1012	2285
307	1016	2283
308	1019	2279
309	1022	2276
310	1026	2273
311	1028	2268
312	1031	2264
313	1035	2262
314	1038	2258
315	1041	2255
316	1044	2250
317	1047	2246
318	1050	2243
319	1053	2239
320	1056	2235
321	1059	2230
322	1062	2226
323	1065	2223
324	1069	2220
325	1071	2216
326	1074	2211
327	1077	2207
328	1080	2203
329	1084	2201
330	1087	2198
331	1090	2193
332	1093	2189
333	1096	2185
334	1099	2183
335	1103	2181
336	1107	2178
337	1111	2177
338	1116	2176
339	1120	2174
340	1123	2171
341	1127	2168
342	1131	2166
343	1134	2164
344	1138	2161
345	1141	2157
346	1146	2156
347	1149	2153
348	1152	2149
349	1155	2146
350	1159	2143
351	1162	2140
352	1166	2137
353	1169	2133
354	1172	2130
355	1175	2127
356	1179	2124
357	1182	2121
358	1185	2117
359	1188	2113
360	1191	2109
361	1195	2107
362	1199	2104
363	1202	2101
364	1205	2098
365	1209	2095
366	1213	2092
367	1216	2089
368	1219	2085
369	1222	2081
370	1226	2078
371	1230	2076
372	1233	2073
373	1236	2069
374	1239	2066
375	1243	2064
376	1247	2060
377	1250	2057
378	1253	2053
